番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0810,サルノリ,Grookey,Chimpep,Ouistempo,흥나숭,敲音猴,敲音猴
0811,バチンキー,Thwackey,Chimstix,Badabouin,채키몽,啪咚猴,啪咚猴
0812,ゴリランダー,Rillaboom,Gortrom,Gorythmic,고릴타,轰擂金刚猩,轟擂金剛猩
0813,ヒバニー,Scorbunny,Hopplo,Flambino,염버니,炎兔儿,炎兔兒
0814,ラビフット,Raboot,Kickerlo,Lapyro,래비풋,腾蹴小将,騰蹴小將
0815,エースバーン,Cinderace,Liberlo,Pyrobut,에이스번,闪焰王牌,閃焰王牌
0816,メッソン,Sobble,Memmeon,Larméléon,울머기,泪眼蜥,淚眼蜥
0817,ジメレオン,Drizzile,Phlegleon,Arrozard,누겔레온,变涩蜥,變澀蜥
0818,インテレオン,Inteleon,Intelleon,Lézargus,인텔리레온,千面避役,千面避役
0819,ホシガリス,Skwovet,Raffel,Rongourmand,탐리스,贪心栗鼠,貪心栗鼠
0820,ヨクバリス,Greedent,Schlaraffel,Rongrigou,요씽리스,藏饱栗鼠,藏飽栗鼠
0821,ココガラ,Rookidee,Meikro,Minisange,파라꼬,稚山雀,稚山雀
0822,アオガラス,Corvisquire,Kranoviz,Bleuseille,파크로우,蓝鸦,藍鴉
0823,アーマーガア,Corviknight,Krarmor,Corvaillus,아머까오,钢铠鸦,鋼鎧鴉
0824,サッチムシ,Blipbug,Sensect,Larvadar,두루지벌레,索侦虫,索偵蟲
0825,レドームシ,Dottler,Keradar,Coléodôme,레돔벌레,天罩虫,天罩蟲
0826,イオルブ,Orbeetle,Maritellit,Astronelle,이올브,以欧路普,以歐路普
0827,クスネ,Nickit,Kleptifux,Goupilou,훔처우,狡小狐,偷兒狐
0828,フォクスライ,Thievul,Gaunux,Roublenard,폭슬라이,猾大狐,狐大盜
0829,ヒメンカ,Gossifleur,Cottini,Tournicoton,꼬모카,幼棉棉,幼棉棉
0830,ワタシラガ,Eldegoss,Cottomi,Blancoton,백솜모카,白蓬蓬,白蓬蓬
0831,ウールー,Wooloo,Wolly,Moumouton,우르,毛辫羊,毛辮羊
0832,バイウールー,Dubwool,Zwollock,Moumouflon,배우르,毛毛角羊,毛毛角羊
0833,カムカメ,Chewtle,Kamehaps,Khélocrok,깨물부기,咬咬龟,咬咬龜
0834,カジリガメ,Drednaw,Kamalm,Torgamord,갈가부기,暴噬龟,暴噬龜
0835,ワンパチ,Yamper,Voldi,Voltoutou,멍파치,来电汪,來電汪
0836,パルスワン,Boltund,Bellektro,Fulgudog,펄스멍,逐电犬,逐電犬
0837,タンドン,Rolycoly,Klonkett,Charbi,탄동,小炭仔,小炭仔
0838,トロッゴン,Carkol,Wagong,Wagomine,탄차곤,大炭车,大炭車
0839,セキタンザン,Coalossal,Montecarbo,Monthracite,석탄산,巨炭山,巨炭山
0840,カジッチュ,Applin,Knapfel,Verpom,과사삭벌레,啃果虫,啃果蟲
0841,アップリュー,Flapple,Drapfel,Pomdrapi,애프룡,苹裹龙,蘋裹龍
0842,タルップル,Appletun,Schlapfel,Dratatin,단지래플,丰蜜龙,豐蜜龍
0843,スナヘビ,Silicobra,Salanga,Dunaja,모래뱀,沙包蛇,沙包蛇
0844,サダイジャ,Sandaconda,Sanaconda,Dunaconda,사다이사,沙螺蟒,沙螺蟒
0845,ウッウ,Cramorant,Urgl,Nigosier,윽우지,古月鸟,古月鳥
0846,サシカマス,Arrokuda,Pikuda,Embrochet,찌로꼬치,刺梭鱼,刺梭魚
0847,カマスジョー,Barraskewda,Barrakiefa,Hastacuda,꼬치조,戽斗尖梭,戽斗尖梭
0848,エレズン,Toxel,Toxel,Toxizap,일레즌,电音婴,毒電嬰
0849,ストリンダー,Toxtricity,Riffex,Salarsen,스트린더,颤弦蝾螈,顫弦蠑螈
