番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0722,モクロー,Rowlet,Bauz,Brindibou,나몰빼미,木木枭,木木梟
0723,フクスロー,Dartrix,Arboretoss,Efflèche,빼미스로우,投羽枭,投羽梟
0724,ジュナイパー,Decidueye,Silvarro,Archéduc,모크나이퍼,狙射树枭,狙射樹梟
0725,ニャビー,Litten,Flamiau,Flamiaou,냐오불,火斑喵,火斑喵
0726,ニャヒート,Torracat,Miezunder,Matoufeu,냐오히트,炎热喵,炎熱喵
0727,ガオガエン,Incineroar,Fuegro,Félinferno,어흥염,炽焰咆哮虎,熾焰咆哮虎
0728,アシマリ,Popplio,Robball,Otaquin,누리공,球球海狮,球球海獅
0729,オシャマリ,Brionne,Marikeck,Otarlette,키요공,花漾海狮,花漾海獅
0730,アシレーヌ,Primarina,Primarene,Oratoria,누리레느,西狮海壬,西獅海壬
0731,ツツケラ,Pikipek,Peppeck,Picassaut,콕코구리,小笃儿,小篤兒
0732,ケララッパ,Trumbeak,Trompeck,Piclairon,크라파,喇叭啄鸟,喇叭啄鳥
0733,ドデカバシ,Toucannon,Tukanon,Bazoucan,왕큰부리,铳嘴大鸟,銃嘴大鳥
0734,ヤングース,Yungoos,Mangunior,Manglouton,영구스,猫鼬少,貓鼬少
0735,デカグース,Gumshoos,Manguspektor,Argouste,형사구스,猫鼬探长,貓鼬探長
0736,アゴジムシ,Grubbin,Mabula,Larvibule,턱지충이,强颚鸡母虫,強顎雞母蟲
0737,デンヂムシ,Charjabug,Akkup,Chrysapile,전지충이,虫电宝,蟲電寶
0738,クワガノン,Vikavolt,Donarion,Lucanon,투구뿌논,锹农炮虫,鍬農炮蟲
0739,マケンカニ,Crabrawler,Krabbox,Crabagarre,오기지게,好胜蟹,好勝蟹
0740,ケケンカニ,Crabominable,Krawell,Crabominable,모단단게,好胜毛蟹,好勝毛蟹
0741,オドリドリ,Oricorio,Choreogel,Plumeline,춤추새,花舞鸟,花舞鳥
0742,アブリー,Cutiefly,Wommel,Bombydou,에블리,萌虻,萌虻
0743,アブリボン,Ribombee,Bandelby,Rubombelle,에리본,蝶结萌虻,蝶結萌虻
0744,イワンコ,Rockruff,Wuffels,Rocabot,암멍이,岩狗狗,岩狗狗
0745,ルガルガン,Lycanroc,Wolwerock,Lougaroc,루가루암,鬃岩狼人,鬃岩狼人
0746,ヨワシ,Wishiwashi,Lusardin,Froussardine,약어리,弱丁鱼,弱丁魚
0747,ヒドイデ,Mareanie,Garstella,Vorastérie,시마사리,好坏星,好壞星
0748,ドヒドイデ,Toxapex,Aggrostella,Prédastérie,더시마사리,超坏星,超壞星
0749,ドロバンコ,Mudbray,Pampuli,Tiboudet,머드나기,泥驴仔,泥驢仔
0750,バンバドロ,Mudsdale,Pampross,Bourrinos,만마드,重泥挽马,重泥挽馬
0751,シズクモ,Dewpider,Araqua,Araqua,물거미,滴蛛,滴蛛
0752,オニシズクモ,Araquanid,Aranestro,Tarenbulle,깨비물거미,滴蛛霸,滴蛛霸
0753,カリキリ,Fomantis,Imantis,Mimantis,짜랑랑,伪螳草,偽螳草
0754,ラランテス,Lurantis,Mantidea,Floramantis,라란티스,兰螳花,蘭螳花
0755,ネマシュ,Morelull,Bubungus,Spododo,자마슈,睡睡菇,睡睡菇
0756,マシェード,Shiinotic,Lamellux,Lampignon,마셰이드,灯罩夜菇,燈罩夜菇
0757,ヤトウモリ,Salandit,Molunk,Tritox,야도뇽,夜盗火蜥,夜盜火蜥
0758,エンニュート,Salazzle,Amfira,Malamandre,염뉴트,焰后蜥,焰后蜥
0759,ヌイコグマ,Stufful,Velursi,Nounourson,포곰곰,童偶熊,童偶熊
0760,キテルグマ,Bewear,Kosturso,Chelours,이븐곰,穿着熊,穿著熊
0761,アマカジ,Bounsweet,Frubberl,Croquine,달콤아,甜竹竹,甜竹竹
0762,アママイコ,Steenee,Frubaila,Candine,달무리나,甜舞妮,甜舞妮
0763,アマージョ,Tsareena,Fruyal,Sucreine,달코퀸,甜冷美后,甜冷美后
0764,キュワワー,Comfey,Curelei,Guérilande,큐아링,花疗环环,花療環環
0765,ヤレユータン,Oranguru,Kommandutan,Gouroutan,하랑우탄,智挥猩,智揮猩
0766,ナゲツケサル,Passimian,Quartermak,Quartermac,내던숭이,投掷猴,投擲猴
