番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0494,ビクティニ,Victini,Victini,Victini,비크티니,比克提尼,比克提尼
0495,ツタージャ,Snivy,Serpifeu,Vipélierre,주리비얀,藤藤蛇,藤藤蛇
0496,ジャノビー,Servine,Efoserp,Lianaja,샤비,青藤蛇,青藤蛇
0497,ジャローダ,Serperior,Serpiroyal,Majaspic,샤로다,君主蛇,君主蛇
0498,ポカブ,Tepig,Floink,Gruikui,뚜꾸리,暖暖猪,暖暖豬
0499,チャオブー,Pignite,Ferkokel,Grotichon,챠오꿀,炒炒猪,炒炒豬
0500,エンブオー,Emboar,Flambirex,Roitiflam,염무왕,炎武王,炎武王
0501,ミジュマル,Oshawott,Ottaro,Moustillon,수댕이,水水獭,水水獺
0502,フタチマル,Dewott,Zwottronin,Mateloutre,쌍검자비,双刃丸,雙刃丸
0503,ダイケンキ,Samurott,Admurai,Clamiral,대검귀,大剑鬼,大劍鬼
0504,ミネズミ,Patrat,Nagelotz,Ratentif,보르쥐,探探鼠,探探鼠
0505,ミルホッグ,Watchog,Kukmarda,Miradar,보르그,步哨鼠,步哨鼠
0506,ヨーテリー,Lillipup,Yorkleff,Ponchiot,요테리,小约克,小約克
0507,ハーデリア,Herdier,Terribark,Ponchien,하데리어,哈约克,哈約克
0508,ムーランド,Stoutland,Bissbark,Mastouffe,바랜드,长毛狗,長毛狗
0509,チョロネコ,Purrloin,Felilou,Chacripan,쌔비냥,扒手猫,扒手貓
0510,レパルダス,Liepard,Kleoparda,Léopardas,레파르다스,酷豹,酷豹
0511,ヤナップ,Pansage,Vegimak,Feuillajou,야나프,花椰猴,花椰猴
0512,ヤナッキー,Simisage,Vegichita,Feuiloutan,야나키,花椰猿,花椰猿
0513,バオップ,Pansear,Grillmak,Flamajou,바오프,爆香猴,爆香猴
0514,バオッキー,Simisear,Grillchita,Flamoutan,바오키,爆香猿,爆香猿
0515,ヒヤップ,Panpour,Sodamak,Flotajou,앗차프,冷水猴,冷水猴
0516,ヒヤッキー,Simipour,Sodachita,Flotoutan,앗차키,冷水猿,冷水猿
0517,ムンナ,Munna,Somniam,Munna,몽나,食梦梦,食夢夢
0518,ムシャーナ,Musharna,Somnivora,Mushana,몽얌나,梦梦蚀,夢夢蝕
0519,マメパト,Pidove,Dusselgurr,Poichigeon,콩둘기,豆豆鸽,豆豆鴿
0520,ハトーボー,Tranquill,Navitaub,Colombeau,유토브,咕咕鸽,咕咕鴿
0521,ケンホロウ,Unfezant,Fasasnob,Déflaisan,켄호로우,高傲雉鸡,高傲雉雞
0522,シママ,Blitzle,Elezeba,Zébribon,줄뮤마,斑斑马,斑斑馬
0523,ゼブライカ,Zebstrika,Zebritz,Zéblitz,제브라이카,雷电斑马,雷電斑馬
0524,ダンゴロ,Roggenrola,Kiesling,Nodulithe,단굴,石丸子,石丸子
0525,ガントル,Boldore,Sedimantur,Géolithe,암트르,地幔岩,地幔岩
0526,ギガイアス,Gigalith,Brockoloss,Gigalithe,기가이어스,庞岩怪,龐岩怪
0527,コロモリ,Woobat,Fleknoil,Chovsourir,또르박쥐,滚滚蝙蝠,滾滾蝙蝠
0528,ココロモリ,Swoobat,Fletiamo,Rhinolove,맘박쥐,心蝙蝠,心蝙蝠
0529,モグリュー,Drilbur,Rotomurf,Rototaupe,두더류,螺钉地鼠,螺釘地鼠
0530,ドリュウズ,Excadrill,Stalobor,Minotaupe,몰드류,龙头地鼠,龍頭地鼠
0531,タブンネ,Audino,Ohrdoch,Nanméouïe,다부니,差不多娃娃,差不多娃娃
0532,ドッコラー,Timburr,Praktibalk,Charpenti,으랏차,搬运小匠,搬運小匠
0533,ドテッコツ,Gurdurr,Strepoli,Ouvrifier,토쇠골,铁骨土人,鐵骨土人
0534,ローブシン,Conkeldurr,Meistagrif,Bétochef,노보청,修建老匠,修建老匠
0535,オタマロ,Tympole,Schallquap,Tritonde,동챙이,圆蝌蚪,圓蝌蚪
0536,ガマガル,Palpitoad,Mebrana,Batracné,두까비,蓝蟾蜍,藍蟾蜍
0537,ガマゲロゲ,Seismitoad,Branawarz,Crapustule,두빅굴,蟾蜍王,蟾蜍王
0538,ナゲキ,Throh,Jiutesto,Judokrak,던지미,投摔鬼,投摔鬼
0539,ダゲキ,Sawk,Karadonis,Karaclée,타격귀,打击鬼,打擊鬼
0540,クルミル,Sewaddle,Strawickl,Larveyette,두르보,虫宝包,蟲寶包
0541,クルマユ,Swadloon,Folikon,Couverdure,두르쿤,宝包茧,寶包繭
0542,ハハコモリ,Leavanny,Matrifol,Manternel,모아머,保姆虫,保母蟲
0543,フシデ,Venipede,Toxiped,Venipatte,마디네,百足蜈蚣,百足蜈蚣
0544,ホイーガ,Whirlipede,Rollum,Scobolide,휠구,车轮球,車輪毬
0545,ペンドラー,Scolipede,Cerapendra,Brutapode,펜드라,蜈蚣王,蜈蚣王
0546,モンメン,Cottonee,Waumboll,Doudouvet,소미안,木棉球,木棉球
0547,エルフーン,Whimsicott,Elfun,Farfaduvet,엘풍,风妖精,風妖精
0548,チュリネ,Petilil,Lilminip,Chlorobule,치릴리,百合根娃娃,百合根娃娃
0549,ドレディア,Lilligant,Dressella,Fragilady,드레디어,裙儿小姐,裙兒小姐
0550,バスラオ,Basculin,Barschuft,Bargantua,배쓰나이,野蛮鲈鱼,野蠻鱸魚
0551,メグロコ,Sandile,Ganovil,Mascaïman,깜눈크,黑眼鳄,黑眼鱷
0552,ワルビル,Krokorok,Rokkaiman,Escroco,악비르,混混鳄,混混鱷
0553,ワルビアル,Krookodile,Rabigator,Crocorible,악비아르,流氓鳄,流氓鱷
0554,ダルマッカ,Darumaka,Flampion,Darumarond,달막화,火红不倒翁,火紅不倒翁
0555,ヒヒダルマ,Darmanitan,Flampivian,Darumacho,불비달마,达摩狒狒,達摩狒狒
0556,マラカッチ,Maractus,Maracamba,Maracachi,마라카치,沙铃仙人掌,沙鈴仙人掌
0557,イシズマイ,Dwebble,Lithomith,Crabicoque,돌살이,石居蟹,石居蟹
0558,イワパレス,Crustle,Castellith,Crabaraque,암팰리스,岩殿居蟹,岩殿居蟹
0559,ズルッグ,Scraggy,Zurrokex,Baggiguane,곤율랭,滑滑小子,滑滑小子
0560,ズルズキン,Scrafty,Irokex,Baggaïd,곤율거니,头巾混混,頭巾混混
0561,シンボラー,Sigilyph,Symvolara,Cryptéro,심보러,象征鸟,象徵鳥
0562,デスマス,Yamask,Makabaja,Tutafeh,데스마스,哭哭面具,哭哭面具
0563,デスカーン,Cofagrigus,Echnatoll,Tutankafer,데스니칸,迭失棺,死神棺
0564,プロトーガ,Tirtouga,Galapaflos,Carapagos,프로토가,原盖海龟,原蓋海龜
0565,アバゴーラ,Carracosta,Karippas,Mégapagos,늑골라,肋骨海龟,肋骨海龜
0566,アーケン,Archen,Flapteryx,Arkéapti,아켄,始祖小鸟,始祖小鳥
0567,アーケオス,Archeops,Aeropteryx,Aéroptéryx,아케오스,始祖大鸟,始祖大鳥
0568,ヤブクロン,Trubbish,Unratütox,Miamiasme,깨봉이,破破袋,破破袋
0569,ダストダス,Garbodor,Deponitox,Miasmax,더스트나,灰尘山,灰塵山
0570,ゾロア,Zorua,Zorua,Zorua,조로아,索罗亚,索羅亞
0571,ゾロアーク,Zoroark,Zoroark,Zoroark,조로아크,索罗亚克,索羅亞克
0572,チラーミィ,Minccino,Picochilla,Chinchidou,치라미,泡沫栗鼠,泡沫栗鼠
0573,チラチーノ,Cinccino,Chillabell,Pashmilla,치라치노,奇诺栗鼠,奇諾栗鼠
0574,ゴチム,Gothita,Mollimorba,Scrutella,고디탱,哥德宝宝,哥德寶寶
0575,ゴチミル,Gothorita,Hypnomorba,Mesmérella,고디보미,哥德小童,哥德小童
0576,ゴチルゼル,Gothitelle,Morbitesse,Sidérella,고디모아젤,哥德小姐,哥德小姐
