番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0650,ハリマロン,Chespin,Igamaro,Marisson,도치마론,哈力栗,哈力栗
0651,ハリボーグ,Quilladin,Igastarnish,Boguérisse,도치보구,胖胖哈力,胖胖哈力
0652,ブリガロン,Chesnaught,Brigaron,Blindépique,브리가론,布里卡隆,布里卡隆
0653,フォッコ,Fennekin,Fynx,Feunnec,푸호꼬,火狐狸,火狐狸
0654,テールナー,Braixen,Rutena,Roussil,테르나,长尾火狐,長尾火狐
0655,マフォクシー,Delphox,Fennexis,Goupelin,마폭시,妖火红狐,妖火紅狐
0656,ケロマツ,Froakie,Froxy,Grenousse,개구마르,呱呱泡蛙,呱呱泡蛙
0657,ゲコガシラ,Frogadier,Amphizel,Croâporal,개굴반장,呱头蛙,呱頭蛙
0658,ゲッコウガ,Greninja,Quajutsu,Amphinobi,개굴닌자,甲贺忍蛙,甲賀忍蛙
0659,ホルビー,Bunnelby,Sapereau,Sapereau,파르빗,掘掘兔,掘掘兔
0660,ホルード,Diggersby,Grebbit,Excavarenne,파르토,掘地兔,掘地兔
0661,ヤヤコマ,Fletchling,Dartiri,Passerouge,화살꼬빈,小箭雀,小箭雀
0662,ヒノヤコマ,Fletchinder,Dartignis,Braisillon,불화살빈,火箭雀,火箭雀
0663,ファイアロー,Talonflame,Fiaro,Flambusard,파이어로,烈箭鹰,烈箭鷹
0664,コフキムシ,Scatterbug,Purmel,Lépidonille,분이벌레,粉蝶虫,粉蝶蟲
0665,コフーライ,Spewpa,Puponcho,Pérégrain,분떠도리,粉蝶蛹,粉蝶蛹
0666,ビビヨン,Vivillon,Vivillon,Prismillon,비비용,彩粉蝶,彩粉蝶
0667,シシコ,Litleo,Leufeo,Hélionceau,레오꼬,小狮狮,小獅獅
0668,カエンジシ,Pyroar,Pyroleo,Némélios,화염레오,火炎狮,火炎獅
0669,フラベベ,Flabébé,Flabébé,Flabébé,플라베베,花蓓蓓,花蓓蓓
0670,フラエッテ,Floette,Floette,Floette,플라엣테,花叶蒂,花葉蒂
0671,フラージェス,Florges,Florges,Florges,플라제스,花洁夫人,花潔夫人
0672,メェークル,Skiddo,Mähikel,Cabriolaine,메이클,坐骑小羊,坐騎小羊
0673,ゴーゴート,Gogoat,Chevrumm,Chevroum,고고트,坐骑山羊,坐騎山羊
0674,ヤンチャム,Pancham,Pam-Pam,Pandespiègle,판짱,顽皮熊猫,頑皮熊貓
0675,ゴロンダ,Pangoro,Pandagro,Pandarbare,부란다,霸道熊猫,流氓熊貓
0676,トリミアン,Furfrou,Coiffwaff,Couafarel,트리미앙,多丽米亚,多麗米亞
0677,ニャスパー,Espurr,Psiau,Psystigri,냐스퍼,妙喵,妙喵
0678,ニャオニクス,Meowstic,Psiaugon,Mistigrix,냐오닉스,超能妙喵,超能妙喵
0679,ヒトツキ,Honedge,Gramokles,Monorpale,단칼빙,独剑鞘,獨劍鞘
0680,ニダンギル,Doublade,Duokles,Dimoclès,쌍검킬,双剑鞘,雙劍鞘
0681,ギルガルド,Aegislash,Durengard,Exagide,킬가르도,坚盾剑怪,堅盾劍怪
0682,シュシュプ,Spritzee,Parfi,Fluvetin,슈쁘,粉香香,粉香香
0683,フレフワン,Aromatisse,Parfinesse,Cocotine,프레프티르,芳香精,芳香精
0684,ペロッパフ,Swirlix,Flauschling,Sucroquin,나룸퍼프,绵绵泡芙,綿綿泡芙
0685,ペロリーム,Slurpuff,Sabbaione,Cupcanaille,나루림,胖甜妮,胖甜妮
0686,マーイーカ,Inkay,Iscalar,Sepiatop,오케이징,好啦鱿,好啦魷
0687,カラマネロ,Malamar,Calamanero,Sepiatroce,칼라마네로,乌贼王,烏賊王
0688,カメテテ,Binacle,Bithora,Opermine,거북손손,龟脚脚,龜腳腳
0689,ガメノデス,Barbaracle,Thanathora,Golgopathe,거북손데스,龟足巨铠,龜足巨鎧
0690,クズモー,Skrelp,Algitt,Venalgue,수레기,垃垃藻,垃垃藻
0691,ドラミドロ,Dragalge,Tandrak,Kravarech,드래캄,毒藻龙,毒藻龍
0692,ウデッポウ,Clauncher,Scampisto,Flingouste,완철포,铁臂枪虾,鐵臂槍蝦
0693,ブロスター,Clawitzer,Wummer,Gamblast,블로스터,钢炮臂虾,鋼炮臂蝦
0694,エリキテル,Helioptile,Eguana,Galvaran,목도리키텔,伞电蜥,傘電蜥
0695,エレザード,Heliolisk,Elezard,Iguolta,일레도리자드,光电伞蜥,光電傘蜥
0696,チゴラス,Tyrunt,Balgoras,Ptyranidur,티고라스,宝宝暴龙,寶寶暴龍
0697,ガチゴラス,Tyrantrum,Monargoras,Rexillius,견고라스,怪颚龙,怪顎龍
0698,アマルス,Amaura,Amarino,Amagara,아마루스,冰雪龙,冰雪龍
0699,アマルルガ,Aurorus,Amagarga,Dragmara,아마루르가,冰雪巨龙,冰雪巨龍
0700,ニンフィア,Sylveon,Feelinara,Nymphali,님피아,仙子伊布,仙子伊布
0701,ルチャブル,Hawlucha,Resladero,Brutalibré,루차불,摔角鹰人,摔角鷹人
0702,デデンネ,Dedenne,Dedenne,Dedenne,데덴네,咚咚鼠,咚咚鼠
0703,メレシー,Carbink,Rocara,Strassie,멜리시,小碎钻,小碎鑽
0704,ヌメラ,Goomy,Viscora,Mucuscule,미끄메라,黏黏宝,黏黏寶
0705,ヌメイル,Sliggoo,Viscargot,Colimucus,미끄네일,黏美儿,黏美兒
0706,ヌメルゴン,Goodra,Viscogon,Muplodocus,미끄래곤,黏美龙,黏美龍
0707,クレッフィ,Klefki,Clavion,Trousselin,클레피,钥圈儿,鑰圈兒
0708,ボクレー,Phantump,Paragoni,Brocélôme,나목령,小木灵,小木靈
0709,オーロット,Trevenant,Trombork,Desséliande,대로트,朽木妖,朽木妖
0710,バケッチャ,Pumpkaboo,Irrbis,Pitrouille,호바귀,南瓜精,南瓜精
0711,パンプジン,Gourgeist,Pumpdjinn,Banshitrouye,펌킨인,南瓜怪人,南瓜怪人
0712,カチコール,Bergmite,Arktip,Grelaçon,꽁어름,冰宝,冰寶
0713,クレベース,Avalugg,Arktilas,Séracrawl,크레베이스,冰岩怪,冰岩怪
0714,オンバット,Noibat,eF-eM,Sonistrelle,음뱃,嗡蝠,嗡蝠
0715,オンバーン,Noivern,UHaFnir,Bruyverne,음번,音波龙,音波龍
0716,ゼルネアス,Xerneas,Xerneas,Xerneas,제르네아스,哲尔尼亚斯,哲爾尼亞斯
0717,イベルタル,Yveltal,Yveltal,Yveltal,이벨타르,伊裴尔塔尔,伊裴爾塔爾
0718,ジガルデ,Zygarde,Zygarde,Zygarde,지가르데,基格尔德,基格爾德
0719,ディアンシー,Diancie,Diancie,Diancie,디안시,蒂安希,蒂安希
0720,フーパ,Hoopa,Hoopa,Hoopa,후파,胡帕,胡帕
0721,ボルケニオン,Volcanion,Volcanion,Volcanion,볼케니온,波尔凯尼恩,波爾凱尼恩
