番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0152,チコリータ,Chikorita,Endivie,Germignon,치코리타,菊草叶,菊草葉
0153,ベイリーフ,Bayleef,Lorblatt,Macronium,베이리프,月桂叶,月桂葉
0154,メガニウム,Meganium,Meganie,Méganium,메가니움,大竺葵,大竺葵
0155,ヒノアラシ,Cyndaquil,Feurigel,Héricendre,브케인,火球鼠,火球鼠
0156,マグマラシ,Quilava,Igelavar,Feurisson,마그케인,火岩鼠,火岩鼠
0157,バクフーン,Typhlosion,Tornupto,Typhlosion,블레이범,火暴兽,火爆獸
0158,ワニノコ,Totodile,Karnimani,Kaiminus,리아코,小锯鳄,小鋸鱷
0159,アリゲイツ,Croconaw,Tyracroc,Crocrodil,엘리게이,蓝鳄,藍鱷
0160,オーダイル,Feraligatr,Impergator,Aligatueur,장크로다일,大力鳄,大力鱷
0161,オタチ,Sentret,Wiesor,Fouinette,꼬리선,尾立,尾立
0162,オオタチ,Furret,Wiesenior,Fouinar,다꼬리,大尾立,大尾立
0163,ホーホー,Hoothoot,Hoothoot,Hoothoot,부우부,咕咕,咕咕
0164,ヨルノズク,Noctowl,Noctuh,Noarfang,야부엉,猫头夜鹰,貓頭夜鷹
0165,レディバ,Ledyba,Ledyba,Coxy,레디바,芭瓢虫,芭瓢蟲
0166,レディアン,Ledian,Ledian,Coxyclaque,레디안,安瓢虫,安瓢蟲
0167,イトマル,Spinarak,Webarak,Mimigal,페이검,圆丝蛛,圓絲蛛
0168,アリアドス,Ariados,Ariados,Migalos,아리아도스,阿利多斯,阿利多斯
0169,クロバット,Crobat,Iksbat,Nostenfer,크로뱃,叉字蝠,叉字蝠
0170,チョンチー,Chinchou,Lampi,Loupio,초라기,灯笼鱼,燈籠魚
0171,ランターン,Lanturn,Lanturn,Lanturn,랜턴,电灯怪,電燈怪
0172,ピチュー,Pichu,Pichu,Pichu,피츄,皮丘,皮丘
0173,ピィ,Cleffa,Pii,Mélo,삐,皮宝宝,皮寶寶
0174,ププリン,Igglybuff,Fluffeluff,Toudoudou,푸푸린,宝宝丁,寶寶丁
0175,トゲピー,Togepi,Togepi,Togepi,토게피,波克比,波克比
0176,トゲチック,Togetic,Togetic,Togetic,토게틱,波克基古,波克基古
0177,ネイティ,Natu,Natu,Natu,네이티,天然雀,天然雀
0178,ネイティオ,Xatu,Xatu,Xatu,네이티오,天然鸟,天然鳥
