番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0906,ニャオハ,Sprigatito,Felori,Poussacha,나오하,新叶喵,新葉喵
0907,ニャローテ,Floragato,Feliospa,Matourgeon,나로테,蒂蕾喵,蒂蕾喵
0908,マスカーニャ,Meowscarada,Maskagato,Miascarade,마스카나,魔幻假面喵,魔幻假面喵
0909,ホゲータ,Fuecoco,Krokel,Chochodile,뜨아거,呆火鳄,呆火鱷
0910,アチゲータ,Crocalor,Lokroko,Crocogril,악뜨거,炙烫鳄,炙燙鱷
0911,ラウドボーン,Skeledirge,Skelokrok,Flâmigator,라우드본,骨纹惊声鳄,骨紋驚聲鱷
0912,クワッス,Quaxly,Kwaks,Coiffeton,꾸왁스,润水鸭,潤水鴨
0913,ウェルカモ,Quaxwell,Fuentente,Canarbello,아꾸왁,涌跃鸭,湧躍鴨
0914,ウェーニバル,Quaquaval,Bailonda,Palmaval,웨이니발,狂欢浪舞鸭,狂歡浪舞鴨
0915,グルトン,Lechonk,Ferkuli,Gourmelet,맛보돈,爱吃豚,愛吃豚
0916,パフュートン,Oinkologne,Fragrunz,Fragroin,퍼퓨돈,飘香豚,飄香豚
0917,タマンチュラ,Tarountula,Tarundel,Tissenboule,타랜툴라,团珠蛛,團珠蛛
0918,ワナイダー,Spidops,Spinsidias,Filentrappe,트래피더,操陷蛛,操陷蛛
0919,マメバッタ,Nymble,Micrick,Lilliterelle,콩알뚜기,豆蟋蟀,豆蟋蟀
0920,エクスレッグ,Lokix,Lextremo,Gambex,엑스레그,烈腿蝗,烈腿蝗
0921,パモ,Pawmi,Pamo,Pohm,빠모,布拨,布撥
0922,パモット,Pawmo,Pamamo,Pohmotte,빠모트,布土拨,布土撥
0923,パーモット,Pawmot,Pamomamo,Pohmarmotte,빠르모트,巴布土拨,巴布土撥
0924,ワッカネズミ,Tandemaus,Zwieps,Compagnol,두리쥐,一对鼠,一對鼠
0925,イッカネズミ,Maushold,Famieps,Famignol,파밀리쥐,一家鼠,一家鼠
0926,パピモッチ,Fidough,Hefel,Pâtachiot,쫀도기,狗仔包,狗仔包
0927,バウッツェル,Dachsbun,Backel,Briochien,바우첼,麻花犬,麻花犬
0928,ミニーブ,Smoliv,Olini,Olivini,미니브,迷你芙,迷你芙
0929,オリーニョ,Dolliv,Olivinio,Olivado,올리뇨,奥利纽,奧利紐
0930,オリーヴァ,Arboliva,Olithena,Arboliva,올리르바,奥利瓦,奧利瓦
0931,イキリンコ,Squawkabilly,Krawalloro,Tapatoès,시비꼬,怒鹦哥,怒鸚哥
0932,コジオ,Nacli,Geosali,Selutin,베베솔트,盐石宝,鹽石寶
0933,ジオヅム,Naclstack,Sedisal,Amassel,스태솔트,盐石垒,鹽石壘
0934,キョジオーン,Garganacl,Saltigant,Gigansel,콜로솔트,盐石巨灵,鹽石巨靈
0935,カルボウ,Charcadet,Knarbon,Charbambin,카르본,炭小侍,炭小侍
0936,グレンアルマ,Armarouge,Crimanzo,Carmadura,카디나르마,红莲铠骑,紅蓮鎧騎
0937,ソウブレイズ,Ceruledge,Azugladis,Malvalame,파라블레이즈,苍炎刃鬼,蒼炎刃鬼
0938,ズピカ,Tadbulb,Blipp,Têtampoule,빈나두,光蚪仔,光蚪仔
0939,ハラバリー,Bellibolt,Wampitz,Ampibidou,찌리배리,电肚蛙,電肚蛙
0940,カイデン,Wattrel,Voltrel,Zapétrel,찌리비,电海燕,電海燕
0941,タイカイデン,Kilowattrel,Voltrean,Fulgulairo,찌리비크,大电海燕,大電海燕
0942,オラチフ,Maschiff,Mobtiff,Grondogue,오라티프,偶叫獒,偶叫獒
0943,マフィティフ,Mabosstiff,Mastifioso,Dogrino,마피티프,獒教父,獒教父
