番号,日本語,英語、イタリア語、スペイン語,ドイツ語,フランス語,韓国語,中国語（簡）,中国語（繁）
0387,ナエトル,Turtwig,Chelast,Tortipouss,모부기,草苗龟,草苗龜
0388,ハヤシガメ,Grotle,Chelcarain,Boskara,수풀부기,树林龟,樹林龜
0389,ドダイトス,Torterra,Chelterrar,Torterra,토대부기,土台龟,土台龜
0390,ヒコザル,Chimchar,Panflam,Ouisticram,불꽃숭이,小火焰猴,小火焰猴
0391,モウカザル,Monferno,Panpyro,Chimpenfeu,파이숭이,猛火猴,猛火猴
0392,ゴウカザル,Infernape,Panferno,Simiabraz,초염몽,烈焰猴,烈焰猴
0393,ポッチャマ,Piplup,Plinfa,Tiplouf,팽도리,波加曼,波加曼
0394,ポッタイシ,Prinplup,Pliprin,Prinplouf,팽태자,波皇子,波皇子
0395,エンペルト,Empoleon,Impoleon,Pingoléon,엠페르트,帝王拿波,帝王拿波
0396,ムックル,Starly,Staralili,Étourmi,찌르꼬,姆克儿,姆克兒
0397,ムクバード,Staravia,Staravia,Étourvol,찌르버드,姆克鸟,姆克鳥
0398,ムクホーク,Staraptor,Staraptor,Étouraptor,찌르호크,姆克鹰,姆克鷹
0399,ビッパ,Bidoof,Bidiza,Keunotor,비버니,大牙狸,大牙狸
0400,ビーダル,Bibarel,Bidifas,Castorno,비버통,大尾狸,大尾狸
0401,コロボーシ,Kricketot,Zirpurze,Crikzik,귀뚤뚜기,圆法师,圓法師
0402,コロトック,Kricketune,Zirpeise,Mélokrik,귀뚤톡크,音箱蟀,音箱蟀
0403,コリンク,Shinx,Sheinux,Lixy,꼬링크,小猫怪,小貓怪
0404,ルクシオ,Luxio,Luxio,Luxio,럭시오,勒克猫,勒克貓
0405,レントラー,Luxray,Luxtra,Luxray,렌트라,伦琴猫,倫琴貓
0406,スボミー,Budew,Knospi,Rozbouton,꼬몽울,含羞苞,含羞苞
0407,ロズレイド,Roserade,Roserade,Roserade,로즈레이드,罗丝雷朵,羅絲雷朵
0408,ズガイドス,Cranidos,Koknodon,Kranidos,두개도스,头盖龙,頭蓋龍
0409,ラムパルド,Rampardos,Rameidon,Charkos,램펄드,战槌龙,戰槌龍
0410,タテトプス,Shieldon,Schilterus,Dinoclier,방패톱스,盾甲龙,盾甲龍
0411,トリデプス,Bastiodon,Bollterus,Bastiodon,바리톱스,护城龙,護城龍
0412,ミノムッチ,Burmy,Burmy,Cheniti,도롱충이,结草儿,結草兒
0413,ミノマダム,Wormadam,Burmadame,Cheniselle,도롱마담,结草贵妇,結草貴婦
0414,ガーメイル,Mothim,Moterpel,Papilord,나메일,绅士蛾,紳士蛾
0415,ミツハニー,Combee,Wadribie,Apitrini,세꿀버리,三蜜蜂,三蜜蜂
0416,ビークイン,Vespiquen,Honweisel,Apireine,비퀸,蜂女王,蜂女王
0417,パチリス,Pachirisu,Pachirisu,Pachirisu,파치리스,帕奇利兹,帕奇利茲
0418,ブイゼル,Buizel,Bamelin,Mustébouée,브이젤,泳圈鼬,泳圈鼬
0419,フローゼル,Floatzel,Bojelin,Mustéflott,플로젤,浮潜鼬,浮潛鼬
0420,チェリンボ,Cherubi,Kikugi,Ceribou,체리버,樱花宝,櫻花寶
0421,チェリム,Cherrim,Kinoso,Ceriflor,체리꼬,樱花儿,櫻花兒
0422,カラナクシ,Shellos,Schalellos,Sancoki,깝질무,无壳海兔,無殼海兔
0423,トリトドン,Gastrodon,Gastrodon,Tritosor,트리토돈,海兔兽,海兔獸
0424,エテボース,Ambipom,Ambidiffel,Capidextre,겟핸보숭,双尾怪手,雙尾怪手
0425,フワンテ,Drifloon,Driftlon,Baudrive,흔들풍손,飘飘球,飄飄球
0426,フワライド,Drifblim,Drifzepeli,Grodrive,둥실라이드,随风球,隨風球
0427,ミミロル,Buneary,Haspiror,Laporeille,이어롤,卷卷耳,捲捲耳
0428,ミミロップ,Lopunny,Schlapor,Lockpin,이어롭,长耳兔,長耳兔
0429,ムウマージ,Mismagius,Traunmagil,Magirêve,무우마직,梦妖魔,夢妖魔
0430,ドンカラス,Honchkrow,Kramshef,Corboss,돈크로우,乌鸦头头,烏鴉頭頭
0431,ニャルマー,Glameow,Charmian,Chaglam,나옹마,魅力喵,魅力喵
0432,ブニャット,Purugly,Shnurgarst,Chaffreux,몬냥이,东施喵,東施喵
0433,リーシャン,Chingling,Klingplim,Korillon,랑딸랑,铃铛响,鈴鐺響
0434,スカンプー,Stunky,Skunkapuh,Moufouette,스컹뿡,臭鼬噗,臭鼬噗
0435,スカタンク,Skuntank,Skuntank,Moufflair,스컹탱크,坦克臭鼬,坦克臭鼬
0436,ドーミラー,Bronzor,Bronzel,Archéomire,동미러,铜镜怪,銅鏡怪
0437,ドータクン,Bronzong,Bronzong,Archéodong,동탁군,青铜钟,青銅鐘
0438,ウソハチ,Bonsly,Mobai,Manzaï,꼬지지,盆才怪,盆才怪
0439,マネネ,Mime Jr.,Pantimimi,Mime Jr.,흉내내,魔尼尼,魔尼尼
0440,ピンプク,Happiny,Wonneira,Ptiravi,핑복,小福蛋,小福蛋
0441,ペラップ,Chatot,Plaudagei,Pijako,페라페,聒噪鸟,聒噪鳥
0442,ミカルゲ,Spiritomb,Kryppuk,Spiritomb,화강돌,花岩怪,花岩怪
0443,フカマル,Gible,Kaumalat,Griknot,딥상어동,圆陆鲨,圓陸鯊
0444,ガバイト,Gabite,Knarksel,Carmache,한바이트,尖牙陆鲨,尖牙陸鯊
0445,ガブリアス,Garchomp,Knakrack,Carchacrok,한카리아스,烈咬陆鲨,烈咬陸鯊
0446,ゴンベ,Munchlax,Mampfaxo,Goinfrex,먹고자,小卡比兽,小卡比獸
0447,リオル,Riolu,Riolu,Riolu,리오르,利欧路,利歐路
0448,ルカリオ,Lucario,Lucario,Lucario,루카리오,路卡利欧,路卡利歐
